ID,Title,Genres,movieId,tmdbId,Overview,Keyword,Network
1,Toy Story (1995),Animation|Children's|Comedy,1.0,862.0,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.","rescue, friendship, mission, jealousy, villain, bullying, elementary school, rivalry, anthropomorphism, friends, computer animation, buddy, walkie talkie, toy car, boy next door, new toy, neighborhood, toy comes to life, resourcefulness, toy, pixar",Pixar
2,Jumanji (1995),Adventure|Children's|Fantasy,2.0,8844.0,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.","giant insect, board game, disappearance, jungle, recluse, stampede, based on young adult novel, vibrant",TriStar Pictures
3,Grumpier Old Men (1995),Comedy|Romance,3.0,15602.0,"A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max.","fishing, sequel, old man, best friend, wedding, italian restaurant, old friends, duringcreditsstinger, pranks",Lancaster Gate
4,Waiting to Exhale (1995),Comedy|Drama,4.0,31357.0,"Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe.","based on novel or book, single mother, divorce, anxious, friendship between women, cautionary, adoring, celebratory, comforting, african american romance, african american friendship",20th Century Fox
5,Father of the Bride Part II (1995),Comedy,5.0,11862.0,"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife is expecting too. He was planning on selling their home, but that's a plan that—like George—will have to change with the arrival of both a grandchild and a kid of his own.","daughter, baby, parent child relationship, midlife crisis, pregnancy, confidence, aging, sequel, remake, los angeles, california, pregnant woman, contraception, gynecologist, pregnant",Touchstone Pictures
6,Heat (1995),Action|Crime|Thriller,6.0,949.0,Obsessive master thief Neil McCauley leads a top-notch crew on various daring heists throughout Los Angeles while determined detective Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.,"robbery, chase, obsession, detective, heist, thief, honor, murder, betrayal, gang, los angeles, california, cat and mouse, bank robbery, criminal mastermind, cynical, ex-con, one last job, loner, bank job, neo-noir, crime epic, antagonistic, assertive, authoritarian, bold",Warner Bros. Pictures
7,Sabrina (1995),Comedy|Romance,7.0,11860.0,"Sabrina Fairchild, a chauffeur's daughter, grew up at the Long Island estate of the wealthy Larrabee family enchanted with their sparkling world of privilege and wealth, but she's especially enamored of younger son David, a charming playboy. After the once plain Sabrina returns from a sojourn in Paris transformed into a glamorous young woman, she at long last catches David's eye. In a calculated effort to manipulate David away from her and into a more financially advantageous marriage, formidable older brother Linus devises a plan to keep them apart.","chauffeur, sibling relationship, paris, france, transformation, birthday party, family business , long island, new york, playboy, teenage crush, millionaire, marriage engagement, high society, merger, impossible love, family disapproval, scheme, wealth differences, wealthy family, father daughter relationship, brother brother relationship, unlikely romance, romantic",Paramount Pictures
8,Tom and Huck (1995),Adventure|Children's,8.0,45325.0,"A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence.","based on novel or book, mississippi river, male friendship, restless youth, rural americana",Walt Disney Pictures
9,Sudden Death (1995),Action,9.0,9091.0,When a man's daughter is suddenly taken during a championship hockey game – with the captors demanding a billion dollars by game's end – he frantically sets a plan in motion to rescue her and abort an impending explosion before the final buzzer.,"explosive, hostage, ice hockey, terrorism, vice president, pittsburgh, pennsylvania, pittsburgh penguins",Shattered Productions
10,GoldenEye (1995),Action|Adventure|Thriller,10.0,710.0,"When a powerful satellite system falls into the hands of Alec Trevelyan, AKA Agent 006, a former ally-turned-enemy, only James Bond can save the world from a dangerous space weapon that -- in one short pulse -- could destroy the earth! As Bond squares off against his former compatriot, he also battles Xenia Onatopp, an assassin who uses pleasure as her ultimate weapon.","computer virus, cuba, falsely accused, secret intelligence service, secret identity, secret base, kgb, satellite, special car, cossack, electromagnetic pulse, time bomb, st. petersburg, russia, red army",EON Productions
