ID,Name,Weight
1,play_movie,2.5
2,play_25_percent,3
3,play_50_percent,3.5
4,play_75_percent,4
5,complete_movie,5
6,rating_1,-1
7,rating_2,-0.5
8,rating_3,0
9,rating_4,1.5
10,rating_5,3
11,view_detail_page,2
12,long_dwell_detail,2.5
13,scroll_80_percent,1.5
14,click_movie,1
15,click_similar_movie,0.8
16,click_cast,0.6
17,add_to_watchlist,2.8
18,remove_from_watchlist,-1
19,share_movie,2
20,watch_trailer,1.8
21,watch_trailer_50_percent,2.2
22,watch_trailer_complete,2.7
23,write_review,2.5
24,long_review,3
25,like_review,0.5
26,dislike_review,-0.5
27,like_movie,2
28,dislike_movie,-1.5
29,search_movie,1
30,search_by_actor,0.8
31,search_by_genre,0.7
32,idle_on_movie_page,-0.2
33,bounce_immediate,-2
