UserID,Gender,Age,Occupation,Zip-code
1,1,Under 18,K-12 student,48067
2,0,56+,self-employed,70072
3,0,25-34,scientist,55117
4,0,45-49,executive/managerial,02460
5,0,25-34,writer,55455
6,1,50-55,homemaker,55117
7,0,35-44,academic/educator,06810
8,0,25-34,programmer,11413
9,0,25-34,technician/engineer,61614
10,1,35-44,academic/educator,95370
11,1,25-34,academic/educator,04093
12,0,25-34,programmer,32793
13,0,45-49,academic/educator,93304
14,0,35-44,other or not specified,60126
15,0,25-34,executive/managerial,22903
16,1,35-44,other or not specified,20670
17,0,50-55,academic/educator,95350
18,1,18-24,clerical/admin,95825
19,0,Under 18,K-12 student,48073
20,0,25-34,sales/marketing,55113
21,0,18-24,self-employed,99353
22,0,18-24,scientist,53706
23,0,35-44,other or not specified,90049
24,1,25-34,executive/managerial,10023
25,0,18-24,college/grad student,01609
26,0,25-34,executive/managerial,23112
27,0,25-34,lawyer,19130
28,1,25-34,academic/educator,14607
29,0,35-44,executive/managerial,33407
30,1,35-44,executive/managerial,19143
31,0,56+,executive/managerial,06840
32,1,25-34,other or not specified,19355
33,0,45-49,clerical/admin,55421
34,1,18-24,other or not specified,02135
35,0,45-49,academic/educator,02482
36,0,25-34,clerical/admin,94123
37,1,25-34,homemaker,66212
38,1,18-24,college/grad student,02215
39,0,18-24,college/grad student,61820
40,0,45-49,other or not specified,10543
41,1,18-24,college/grad student,15116
42,0,25-34,farmer,24502
43,0,25-34,programmer,60614
44,0,45-49,technician/engineer,98052
45,1,45-49,self-employed,94110
46,0,18-24,unemployed,75602
47,0,18-24,college/grad student,94305
48,0,25-34,college/grad student,92107
49,0,18-24,programmer,77084
50,1,25-34,artist,98133
51,1,Under 18,K-12 student,10562
52,0,18-24,college/grad student,72212
53,0,25-34,other or not specified,96931
54,0,50-55,academic/educator,56723
55,1,35-44,programmer,55303
56,0,35-44,writer,60440
57,0,18-24,unemployed,30350
58,0,25-34,artist,30303
59,1,50-55,academic/educator,55413
60,0,50-55,academic/educator,72118
61,0,25-34,technician/engineer,95122
62,1,35-44,clerical/admin,98105
63,0,18-24,college/grad student,54902
64,0,18-24,academic/educator,53706
65,0,35-44,programmer,55803
66,0,25-34,tradesman/craftsman,57706
67,1,50-55,customer service,60181
68,0,18-24,college/grad student,53706
69,1,25-34,academic/educator,02143
70,0,18-24,college/grad student,53703
71,0,25-34,sales/marketing,95008
72,1,45-49,other or not specified,55122
73,0,18-24,college/grad student,53706
74,0,35-44,sales/marketing,94530
75,1,Under 18,K-12 student,01748
76,0,35-44,executive/managerial,55413
77,0,18-24,college/grad student,15321
78,1,45-49,academic/educator,98029
79,1,45-49,other or not specified,98103
80,0,56+,academic/educator,49327
81,1,25-34,other or not specified,60640
82,0,25-34,technician/engineer,48380
83,1,25-34,artist,94609
84,0,18-24,college/grad student,53140
85,0,18-24,college/grad student,94945
86,1,Under 18,K-12 student,54467
87,0,25-34,sales/marketing,48360
88,1,45-49,academic/educator,02476
89,1,56+,homemaker,85749
90,0,56+,retired,85749
91,0,35-44,executive/managerial,07650
92,1,18-24,college/grad student,44243
93,0,25-34,technician/engineer,95825
94,0,25-34,technician/engineer,28601
95,0,45-49,other or not specified,98201
96,1,25-34,self-employed,78028
97,1,35-44,clerical/admin,66210
98,1,35-44,executive/managerial,33547
99,1,Under 18,K-12 student,19390
100,0,35-44,technician/engineer,95401
101,1,18-24,clerical/admin,33314
102,0,35-44,unemployed,20871
103,0,45-49,executive/managerial,92104
104,0,25-34,programmer,00926
105,0,45-49,programmer,90277
106,1,35-44,lawyer,79101
107,0,45-49,tradesman/craftsman,63129
108,0,25-34,programmer,30316
109,0,45-49,scientist,92028
